abides;соблюдает редакционная;əˈbaɪdz
encapsulate;аспекты;ɛnˈkæpsəˌleɪt
encrypting;шифрование;encrypting*
encryption;шифрование;ɛnˈkrɪpʃən
endeavors;объединение;ɪnˈdɛvərz
enforce;принуждение;ɛnˈfɔrs
enforcement;стороны;ɛnˈfɔrsmənt
engaged;вовлеченный;ɪnˈgeɪʤd
enough;построено;ɪˈnəf
ensure;обеспечить;ɪnˈʃʊr
enterprise;смысл;ˈɛnərˌpraɪz
enterprise-class;корпоративный класс;enterprise-class*
enticing;заманчиво;ɛnˈtaɪsɪŋ
entire;цельные;ɪnˈtaɪər
entities;предложения;ˈɛntɪtiz
entity;нарушения;ˈɛntɪti
entries;записи;ˈɛntriz
entry;вход;ˈɛntri
environmental;окружающая среда;ɪnˌvaɪrənˈmɛnəl
equivocation;двусмысленность;ɪkwɪvəˈkeɪʃən
eradicate;искоренить;ɪˈrædəˌkeɪt
escrow-like;депонирование;escrow-like*
essentially;сущность;ɛˈsɛnʃəli
established;установлено;ɪˈstæblɪʃt
establishes;устанавливает;ɪˈstæblɪʃɪz
ethash;эташ;ethash*
ether;эфир;ˈiθər
eventually;в конечном итоге;ɪˈvɛnʧəwəli
ever;предполагаемый;ˈɛvər
everyone;все;ˈɛvriˌwən
everything;все;ˈɛvriˌθɪŋ
evidence;свидетельство;ˈɛvədəns
exactly;точно;ɪgˈzæktli
except;кроме;ɪkˈsɛpt
exclamation;десугарирование;ˌɛkskləˈmeɪʃən
exclusive;взаимно;ɪkˈsklusɪv
existence;существование;ɪgˈzɪstəns
expansion;достаточно;ɪkˈspænʧən
explain;объясняют;ɪkˈspleɪn
explained;объяснил;ɪkˈspleɪnd
explains;объясняет;ɪkˈspleɪnz
exploits;добыча;ˈɛkˌsplɔɪts
exposed;предотвращение;ɪkˈspoʊzd
exposes;перехват;ɪkˈspoʊzɪz
expressing;выражение;ɪkˈsprɛsɪŋ
extra;дополнительный;ˈɛkstrə
facet;внутренне;ˈfæsət
facets;полученный;ˈfæsəts
facilitating;содействуют;fəˈsɪləˌteɪtɪŋ
faking;подделка;ˈfeɪkɪŋ
fame;слава;feɪm
far;далеко;fɑr
fault;ошибка;fɔlt
faulty;неисправность;ˈfɔlti
favour;благосклонность;ˈfeɪvər
favouring;предпочтение;favouring*
fee;плата;fi
fees;сборы;fiz
fewer;меньше;fjuər
filemaker;файлмейкер;filemaker*
finalise;завершение;finalise*
finality;окончательность;faɪˈnæləti
fine-grained;мелкозернистый;fine-grained*
firewall;брандмауэр;ˈfaɪrwɑl
foe;враг;foʊ
fold;sumprod;foʊld
folded;свернуть;ˈfoʊldɪd
fool;дурак;ful
footprint;след;ˈfʊtˌprɪnt
forces;силы;ˈfɔrsɪz
foregoing;предшествующий;fɔrˈgoʊɪŋ
forge;кузница;fɔrʤ
forges;подделывает;ˈfɔrʤɪz
fork-choice;выбор вилки;fork-choice*
formals;формальные;formals*
former;прежний;ˈfɔrmər
fors;последующее;fərz
forthcoming;предстоящий;ˈfɔrθˈkəmɪŋ
forwarded;переадресовано;ˈfɔrwərdɪd
forwarder;фасет;ˈfɔrwərdər
forwarders;ослабление;ˈfɔrwərdərz
forwarding;ли;ˈfɔrwərdɪŋ
forwards;вперед;ˈfɔrwərdz
foundation;основание;faʊnˈdeɪʃən
fraud;мошенничество;frɔd
fraudulent;мошеннические;ˈfrɔʤələnt
friction;трение;ˈfrɪkʃən
fueled;подпитывается;fjuəld
fulfilled;ненужно;fʊlˈfɪld
fulfillment;выполнение;fʊlˈfɪlmənt
funds;средства;fəndz
further;далее;ˈfərðər
furthermore;урожайность;ˈfərðərˌmɔr
gain;управлять;geɪn
gained;маскировка;geɪnd
gains;правоприменение;geɪnz
gambling;подвиги;ˈgæmbəlɪŋ
gathered;собрал;ˈgæðərd
genesis;генезис;ˈʤɛnəsəs
genuine;подлинные;ˈʤɛnjuˌaɪn
giant;отсылает;ʤaɪənt
gitter;гиттер;ˈgɪtər
giving;устойчивое к цензуре;ˈgɪvɪŋ
globe;глобус;gloʊb
governed;возможности;ˈgəvərnd
graced;благородный;greɪst
grade;восклицание;greɪd
gradually;постепенно;ˈgræʤuəli
grant;грант;grænt
greatly;выборы;ˈgreɪtli
greener;зеленее;ˈgrinər
growing;растет;groʊɪŋ
grows;растет;groʊz
growth;рост;groʊθ
guarding;транспортные средства;ˈgɑrdɪŋ
guess;инкапсулировать;gɛs
guiding;руководство;ˈgaɪdɪŋ
halving;вдвое;ˈhævɪŋ
handful;горстка;ˈhændˌfʊl
hang;отзывная;hæŋ
hard-fork;хард-форк;hard-fork*
harnesses;ремни безопасности;ˈhɑrnəsɪz
harnessing;обнаружено;ˈhɑrnəsɪŋ
hashrate;хешрейт;hashrate*
having;наличие;ˈhævɪŋ
heat;популярность;hit
hefty;здоровенный;ˈhɛfti
heirs;наследники;ɛrz
held;удерживаемый;hɛld
hence;следовательно;hɛns
hit;хит;hɪt
hobbyist;любитель;ˈhɑbiɪst
hodlers;ходлеры;hodlers*
hola;hola;ˈhoʊlə
hooked;на крючке;hʊkt
hostile;враждебный;ˈhɑstəl
however;однако;ˌhaʊˈɛvər
identifiable;идентифицируемый;aɪˈdɛntəˌfaɪəbəl
identities;идентичности;aɪˈdɛntɪˌtiz
identity;идентичность;aɪˈdɛntəˌti
immediately;немедленно;ˌɪˈmiˌdiətli
immutability;неизменность;immutability*
immutable;неизменный;ˌɪmˈjutəbəl
impact;воздействие;ˌɪmˈpækt
improving;неподкупный;ˌɪmˈpruvɪŋ
inability;неспособность;ˌɪnəˈbɪlɪti
incentive;поощрение;ˌɪnˈsɛnɪv
incentives;стимулы;ˌɪnˈsɪnɪvz
incentivise;стимулировать;incentivise*
incentivised;мотивировано;incentivised*
inclusion;включение;ˌɪnˈkluʒən
incorporate;юридические лица;ˌɪnˈkɔrpərˌeɪt
incorporating;преимущества;ˌɪnˈkɔrpərˌeɪtɪŋ
incorruptible;защита от несанкционированного доступа;incorruptible*
inevitably;претензия;ˌɪˈnɛvətəbli
inflation;инфляцию;ˌɪnˈfleɪʃən
ingredients;отслеживание;ˌɪnˈgridiənts
initially;первоначально;ˌɪˈnɪʃəli
ins;входы;ˈaɪˈɛˈnɛs
inspecting;проверка;ˌɪnˈspɛktɪŋ
instant;отправить;ˈɪnstənt
insurance-related;участие;insurance-related*
integrity;целостность;ˌɪnˈtɛgrəti
intended;предназначено;ˌɪnˈtɛndɪd
intercept;владение;ˌɪnərˈsɛpt
interfered;вмешался;ˌɪnərˈfɪrd
intermediaries;посредники;ˌɪnərˈmidiˌɛriz
intermediate;продукт;ˌɪnərˈmidiɪt
internally;отправлено;ˌɪnˈtərnəli
investment;инвестиции;ˌɪnˈvɛstmənt
investments;инвестиции;ˌɪnˈvɛstmənts
invoke;промежуточный;ˌɪnˈvoʊk
invoked;повторное обращение;ˌɪnˈvoʊkt
involvement;выплата;ˌɪnˈvɑlvmənt
isn;не;isn*
issuance;выпуск;ˈɪʃuəns
issuers;условия;ˈɪʃuərz
itself;себя;ˌɪtˈsɛlf
itthis;это;itthis*
journalistic;журналистский;ˌʤərnəˈlɪstɪk
jury;жюри;ˈʤʊri
justification;оправдание;ˌʤəstəfəˈkeɪʃən
justified;оправдано;ˈʤəstəˌfaɪd
keeping;безопаснее;ˈkipɪŋ
kept;сохранено;kɛpt
lack;недостаток;læk
largely;основная сеть;ˈlɑrʤli
laszlo;лазло;ˈlæzloʊ
latency;задержка;ˈleɪtənsi
laundering;выгода;ˈlɔndərɪŋ
law;закон;lɔ
lawbreakers;продажа;ˈlɔˌbreɪkərz
leading;вести;ˈlidɪŋ
leads;ведет;lidz
least;наименьшее;list
ledger;реестр;ˈlɛʤər
level--but;уровень - но;level--but*
lindy;линди;ˈlɪndi
liveness;живучесть;liveness*
lmdb;lmdb;lmdb*
loan;заем;loʊn
logback;logback;logback*
long-term;долгосрочный;ˈlɔŋˈtərm
longer;дольше;ˈlɔŋgər
longevity;долговечность;lɔnˈʤɛvəti
looked;гигант;lʊkt
loom;ткацкий станок;lum
lot;лот;lɔt
lots;полезная нагрузка;lɑts
lower;ниже;loʊər
mainnet;решение;mainnet*
maintain;поддерживать;meɪnˈteɪn
maintaining;поддержание;meɪnˈteɪnɪŋ
maintains;поддерживает;meɪnˈteɪnz
majority;большинство;məˈʤɔrəti
manage;каким-то образом;ˈmænɪʤ
manner;манера;ˈmænər
masternodes;мастерноды;masternodes*
maximally-consistent;максимально согласованный;maximally-consistent*
meaning;значение;ˈminɪŋ
meant;означает;mɛnt
mentioned;упоминается;ˈmɛnʃənd
merely;предложение;ˈmɪrli
metcalfe;меткалф;ˈmɛtkəlf
mine;мое;maɪn
mined;добыто;maɪnd
miner;майнер;ˈmaɪnər
misbehaving;ненадлежащее поведение;ˌmɪsbəˈheɪvɪŋ
misbehaviour;ненадлежащее поведение;misbehaviour*
misleading;ретрансляция;mɪsˈlidɪŋ
misperceptions;неправильное восприятие;mɪspərˈsɛpʃənz
monacoin;монакоин;monacoin*
monetary;денежные средства;ˈmɑnəˌtɛri
months;месяцы;mənθs
moreover;расширение;mɔˈroʊvər
mult;свернуть;mult*
multi-round;многосторонний;multi-round*
multiparentcasperimpl;multiparentcasperimpl;multiparentcasperimpl*
mundo;mundo;ˈməndoʊ
mutually;извлечение;mˈjuʧuəli
necessarily;настойчиво;ˌnɛsəˈsɛrəli
neither;голодать;ˈniðər
nerds;ботаники;nərdz
newborn;новорожденный;ˈnubɔrn
nfts;невзаимозаменяемый;nfts*
non-repudiable;безотказный;non-repudiable*
nonce;одноразовый номер;nɑns
nonces;одноразовые номера;nonces*
nonfungible;прочь;nonfungible*
notably;неизбежно;ˈnoʊtəbli
nothing-at-stake;ничто не поставлено на карту;nothing-at-stake*
numerous;многочисленные;ˈnumərəs
nutshell;вкратце;ˈnətˌʃɛl
obligations;обязательства;ˌɑbləˈgeɪʃənz
obtained;кооператив;əbˈteɪnd
occasionally;иногда;ɔˈkeɪʒənəˌli
occurring;происходящий;əˈkərɪŋ
offer;предложение;ˈɔfər
offerings;типичный выбор;ˈɔfərɪŋz
offshore;азартные игры;ˈɔfˈʃɔr
oligopoly;олигополия;ˌɑlɪˈgɑpəli
one-third;одна треть;ˌwənˈθərd
onto;зависать;ˈɔntu
opportunities;;ˌɑpərˈtunətiz
opportunity;возможность;ˌɑpərˈtunəti
ordered;упорядоченный;ˈɔrdərd
origin;происхождение;ˈɔrəʤən
originating;исходящий;ərˈɪʤəˌneɪtɪŋ
origins;ингредиенты;ˈɔrəʤɪnz
otherwise;в противном случае;ˈəðərˌwaɪz
outcome;результат;ˈaʊtˌkəm
outlet;выход;ˈaʊˌtlɛt
over;сверх;ˈoʊvər
overall;общий;ˈoʊvərˌɔl
overstated;завышенный;ˈoʊvərˌsteɪtɪd
overtakes;догоняет;ˈoʊvərˌteɪks
overview;обзор;ˈoʊvərvˌju
par;номинал;pɑr
participants;участники;pɑrˈtɪsəpənts
participate;участвовать;pɑrˈtɪsəˌpeɪt
participating;участие;pɑrˈtɪsəˌpeɪtɪŋ
particular;конкретный;ˌpɑˈtɪkjələr
parties;регулятивное право;ˈpɑrtiz
partitioning;разбиение;pɑrˈtɪʃənɪŋ
party;вечеринка;ˈpɑrti
payload;в зависимости от того, что;ˈpeɪˌloʊd
payout;выполнено;peɪaʊt
peer-to-peer;одноранговый;ˌpɪrtoʊˈpɪr
peers;сверстники;pɪrz
penalise;наказывать;penalise*
penalised;наказывать;penalised*
penalties;штрафы;ˈpɛnəltiz
pending;мгновенно;ˈpɛndɪŋ
performing;выполнение;pərˈfɔrmɪŋ
permanent;постоянный;ˈpərmɑˌnɛnt
permissionless;несанкционированный;permissionless*
perpetuating;увековечивание;pərˈpɛʧəˌweɪtɪŋ
persist;persist;pərˈsɪst
persistently;продолжить;pərˈsɪstəntli
persists;fors;pərˈsɪsts
pertinent;происхождение;ˈpərtɪnɪnt
phlogiston;флогистон;phlogiston*
phlos;phlos;phlos*
pick;выбрать;pɪk
pick-and-shovel-type;смотрел;pick-and-shovel-type*
pitted;якобы;ˈpɪtɪd
plausible;правдоподобно;ˈplɔzəbəl
plenty;много;ˈplɛnti
plugging;затыкать;ˈpləgɪŋ
policies;инвестирует;ˈpɑləsiz
policy;политика;ˈpɑləsi
popper;поппер;ˈpɑpər
popularity;популярность;ˌpɑpjəˈlɛrəti
pos;позиция;ˈpiˈoʊˈɛs
possess;обладать;pəˈzɛs
possession;угадать;pəˈzɛʃən
powbitcoin;Powbitcoin;powbitcoin*
powered;сила;paʊərd
precedence;;ˈprɛsədəns
preceding;предшествующий;priˈsidɪŋ
predates;предшественники;ˈpriˈdeɪts
prepares;готовит;pərˈpɛrz
prerequisite;предпосылка;priˈrɛkwəzət
presence;присутствие;ˈprɛzəns
prevent;предотвратить;prɪˈvɛnt
preventing;продолжение;prɪˈvɛnɪŋ
prevents;грубый;prɪˈvɛnts
prime;основной;praɪm
principles;принципы;ˈprɪnsəpəlz
prioritize;расставить приоритеты;praɪˈɔrəˌtaɪz
proceed;stdoutack;pərˈsid
process-valued;ценимое в процессе;process-valued*
producing;производят;prəˈdusɪŋ
product;mult;ˈprɑdəkt
proof-of-anything;доказательство чего-либо;proof-of-anything*
proof-of-stakesome;доказательство значимости;proof-of-stakesome*
proof-of-x;доказательство-х;proof-of-x*
proposal;предложение;prəˈpoʊzəl
proposals;предложения;prəˈpoʊzəlz
proposed;предложенный;prəˈpoʊzd
proposer;proposer;proposer*
proposition;предложение;ˌprɑpəˈzɪʃən
propositions;предложения;ˌprɑpəˈzɪʃənz
prospectors;старатели;ˈprɔˌspɛktərz
prove;доказать;pruv
proven;доказано;ˈpruvən
provide;подлинность;prəˈvaɪd
pseudonymous;псевдоним;pseudonymous*
pseudonymously;псевдонимно;pseudonymously*
publicly;публично;ˈpəblɪkli
punish;наказывать;ˈpənɪʃ
punishments;наказания;ˈpənɪʃmənts
pyrofex;пирофекс;pyrofex*
quicker;потрачено впустую;kˈwɪkər
quite;кроме того;kwaɪt
raises;повышает;ˈreɪzɪz
ramp-up;наращивание мощности;ramp-up*
rapidly;быстро;ˈræpədli
rather;скорее;ˈrəðər
rationales;обоснования;ˌræʃəˈnælz
reach;охват;riʧ
reached;достигнутый;riʧt
reaching;достигнув;ˈriʧɪŋ
readmost;читаемость;readmost*
reasonable;разумный;ˈrizənəbəl
recalculated;пересчитано;riˈkælkjəˌleɪtɪd
record-keeping;ведение учета;record-keeping*
reduce;уменьшить;rɪˈdus
reducer;редуктор;reducer*
refer;ссылаться;rɪˈfər
refers;предприятие;rɪˈfərz
refuses;столовое серебро;rɪfˈjuzɪz
regard;предоставление;rɪˈgɑrd
regarding;относительно;rɪˈgɑrdɪŋ
regulates;регулирует;ˈrɛgjəˌleɪts
regulatory;стратегии;ˈrɛgjələˌtɔri
reinvoke;последовательность;reinvoke*
related;связанный;rɪˈleɪtɪd
relaying;более того;ˈriˌleɪɪŋ
relied;полагался;rɪˈlaɪd
relies;полагается;rɪˈlaɪz
relinquish;отказывается;rɪˈlɪŋkwɪʃ
rely;полагаться;rɪˈlaɪ
relying;полагаться;riˈlaɪɪŋ
rendezvous;рандеву;ˈrɑndɪˌvu
requester;запрашивающая;rɪkˈwɛstər
reseller;реселлер;riˈsɛlər
resembles;напоминает;rɪˈzɛmbəlz
responsible;ответственный;riˈspɑnsəbəl
rest;отдых;rɛst
restructure;реструктурировать;riˈstrəkʧər
retaining;удержание;rɪˈteɪnɪŋ
retrieving;хранение;riˈtrivɪŋ
rev;rev;rɛv
revocation;пересылка;ˌrɛvəˈkeɪʃən
revokable;пересылка;revokable*
reward;вознаграждение;rɪˈwɔrd
rewarded;вознаграждение;rɪˈwɔrdɪd
rewards;награды;rɪˈwɔrdz
robust;надежный;roʊˈbəst
rogue;введение в заблуждение;roʊg
rolled;катиться;roʊld
rollout;развертывание;ˈroʊˌlaʊt
rough;последовательность;rəf
safer;быстрее;ˈseɪfər
scattered;разбросанный;ˈskætərd
sealer;запечатывание;ˈsilər
sealing;запечатывание;ˈsilɪŋ
seeing;видящий;siɪŋ
sees;видит;siz
self-consistent;самосогласованный;ˌsɛlfkənˈsɪstənt
sell;использование;sɛl
semicolon;обозначенный;semicolon*
sense;прибыль;sɛns
seq;партии;seq*
sequencing;последствие;ˈsikwənsɪŋ
sequentializes;произвольно;sequentializes*
settling;претензии;ˈsɛtəlɪŋ
sifted;просеян;ˈsɪftɪd
sign;подписать;saɪn
significant;значительный;sɪgˈnɪfɪkənt
signing;подписание;ˈsaɪnɪŋ
silverware;обеденный;ˈsɪlvərˌwɛr
simultaneously;вызвать;ˌsaɪməlˈteɪniəsli
sincerity;искренность;sɪnˈsɛrəti
sins;грехи;sɪnz
slashed;разрезанный;slæʃt
socialist;социалистический;ˈsoʊʃəlɪst
software-friendly;через;software-friendly*
soldering;пайка;ˈsɑdərɪŋ
somebody;кто-то;ˈsəmˌbɑdi
somehow;эмитенты;ˈsəmˌhaʊ
somename;некое имя;somename*
someone;кто-то;ˈsəmˌwən
spark;искра;spɑrk
spawning;нерест;ˈspɔnɪŋ
spawns;spawns;spɔnz
specified;указанный;ˈspɛsəˌfaɪd
spend;потратить;spɛnd
spending;расходование;ˈspɛndɪŋ
spent;потрачено;spɛnt
spirit;дух;ˈspɪrɪt
spit;плевать;spɪt
spot;обнаруженный;spɑt
sprawling;разрастание;ˈsprɔlɪŋ
spread;распространение;sprɛd
spreads;распространяется;sprɛdz
spreadsheet;электронная таблица;ˈsprɛdˌʃit
stake;ставка;steɪk
stake-based;основанный на ставках;stake-based*
staked;поставленный;steɪkt
stakers;стейкеры;stakers*
stakes;ставки;steɪks
staking;стейкинг;ˈsteɪkɪŋ
staking-compatible;совместимость стекинга;staking-compatible*
standing;постоянный;ˈstændɪŋ
starve;укус;stɑrv
stdoutack;подтверждение;stdoutack*
steal;украсть;stil
steer;направлять;stɪr
storing;приближение;ˈstɔrɪŋ
strategies;среди;ˈstrætəʤiz
strict;политика;strɪkt
strives;стремится;straɪvz
stronger;сильнее;ˈstrɔŋgər
struggles;в основном;ˈstrəgəlz
submit;связанный со страховкой;səbˈmɪt
subpattern;связующее;subpattern*
subsequent;исключающее;ˈsəbsəkwənt
substantial;существенный;səbˈstænʃəl
substantially;угроза;səbˈstænʃəli
substitution;подстановка;ˌsəbstɪˈtuʃən
succeeding;преуспевающее;səkˈsidɪŋ
suffer;страдать;ˈsəfər
suitable;подходящий;ˈsutəbəl
sumprod;упорядочивает;sumprod*
supermajority;превосходящее большинство;ˈsupərməˌʤɔrɪti
supplied;предоставлен;səˈplaɪd
supposed;что угодно;səˈpoʊzd
sure;уверенный;ʃʊr
surfaced;существенно;ˈsərfɪst
sustain;поддерживать;səˈsteɪn
sustainability;устойчивость;səˌsteɪnəˈbɪlɪti
sybil;Сибил;ˈsɪbɪl
synchronicity;синхронность;sɪŋkrəˈnɪsɪti
synthesize;синтезировать;ˈsɪnθəˌsaɪz
takeover;захват;ˈteɪˌkoʊvər
tamper-proof;уязвимость;tamper-proof*
tamper-resistant;включение;tamper-resistant*
tampered;подделанный;ˈtæmpərd
tampering;вмешательство;ˈtæmpərɪŋ
tempting;тщательно;ˈtɛmptɪŋ
tendermint;нежная мята;tendermint*
tends;тенденции;tɛndz
terms;борьба;tərmz
them;они;ðɛm
themselves;себя;ðɛmˈsɛlvz
there;там;ðɛr
thereby;тем самым;ˈðɛrˈbaɪ
