abides;пребывает;əˈbaɪdz;
exclusive;эксклюзивный;ɪkˈsklusɪv;
exemplify;служить примером;ɪgˈzɛmpləˌfaɪ;
existence;существование;ɪgˈzɪstəns;
expansion;расширение;ɪkˈspænʧən;
explain;объяснять;ɪkˈspleɪn;
explained;объяснил;ɪkˈspleɪnd;
explains;объясняет;ɪkˈspleɪnz;
exploits;подвиги;ˈɛkˌsplɔɪts;
explosion;взрыв;ɪkˈsploʊʒən;
exposed;незащищенный;ɪkˈspoʊzd;
exposes;разоблачает;ɪkˈspoʊzɪz;
expressing;выражая;ɪkˈsprɛsɪŋ;
extra;дополнительный;ˈɛkstrə;
facet;грань;ˈfæsət;
facets;грани;ˈfæsəts;
facilitating;облегчение;fəˈsɪləˌteɪtɪŋ;
faking;притворство;ˈfeɪkɪŋ;
fame;слава;feɪm;
familiar;знакомый;fəˈmɪljər;
far;далеко;fɑr;
fault;вина;fɔlt;
faulty;неисправный;ˈfɔlti;
favour;услуга;ˈfeɪvər;
favouring;отдавая предпочтение;favouring*;
fee;платеж;fi;
fees;сборы;fiz;
fewer;меньше;fjuər;
filemaker;файловый менеджер;filemaker*;
finalise;завершить;finalise*;
finality;окончательность;faɪˈnæləti;
fine-grained;мелкозернистый;fine-grained*;
fined;оштрафован;faɪnd;
firewall;брандмауэр;ˈfaɪrwɑl;
foe;враг;foʊ;
fold;складывать;foʊld;
folded;сложенный;ˈfoʊldɪd;
fool;дурак;ful;
footprint;след;ˈfʊtˌprɪnt;
forces;силы;ˈfɔrsɪz;
foregoing;вышеизложенное;fɔrˈgoʊɪŋ;
forge;ковать;fɔrʤ;
forges;кузницы;ˈfɔrʤɪz;
fork-choice;выбор вилки;fork-choice*;
formals;формальные;formals*;
formed;сформированный;fɔrmd;
former;бывший;ˈfɔrmər;
formulae;формулы;formulae*;
fors;за;fərz;
forthcoming;предстоящий;ˈfɔrθˈkəmɪŋ;
forwarded;отправлено;ˈfɔrwərdɪd;
forwarder;экспедитор;ˈfɔrwərdər;
forwarders;экспедиторы;ˈfɔrwərdərz;
forwarding;пересылка;ˈfɔrwərdɪŋ;
forwards;вперед;ˈfɔrwərdz;
foundation;фундамент;faʊnˈdeɪʃən;
fraud;мошенничество;frɔd;
fraudulent;мошеннический;ˈfrɔʤələnt;
freely;свободно;ˈfrili;
friction;трение;ˈfrɪkʃən;
fueled;заправлен;fjuəld;
fulfilled;выполнено;fʊlˈfɪld;
fulfillment;исполнение;fʊlˈfɪlmənt;
funds;фонды;fəndz;
further;способствовать;ˈfərðər;
furthermore;более того;ˈfərðərˌmɔr;
gain;прирост;geɪn;
gained;получил;geɪnd;
gains;прибыль;geɪnz;
gambling;играть в азартные игры;ˈgæmbəlɪŋ;
gathered;собрал;ˈgæðərd;
generalize;обобщать;ˈʤɛnərəˌlaɪz;
genesis;происхождение;ˈʤɛnəsəs;
genuine;подлинный;ˈʤɛnjuˌaɪn;
giant;гигант;ʤaɪənt;
gitter;мерзкий;ˈgɪtər;
giving;давая;ˈgɪvɪŋ;
globe;глобус;gloʊb;
governed;управляемый;ˈgəvərnd;
graced;украсил;greɪst;
grade;оценка;greɪd;
gradually;постепенно;ˈgræʤuəli;
grant;даровать;grænt;
greatly;сильно;ˈgreɪtli;
greener;зеленее;ˈgrinər;
growing;растущий;groʊɪŋ;
grows;растет;groʊz;
growth;рост;groʊθ;
guarding;охрана;ˈgɑrdɪŋ;
guess;угадать;gɛs;
guiding;руководство;ˈgaɪdɪŋ;
halving;уменьшение вдвое;ˈhævɪŋ;
handful;горсть;ˈhændˌfʊl;
hang;вешать;hæŋ;
hard-fork;хард-форк;hard-fork*;
harnesses;жгуты;ˈhɑrnəsɪz;
harnessing;использование;ˈhɑrnəsɪŋ;
hashrate;хешрейт;hashrate*;
having;имея;ˈhævɪŋ;
heat;нагревать;hit;
hefty;здоровенный;ˈhɛfti;
heirs;наследники;ɛrz;
held;проводится;hɛld;
hence;следовательно;hɛns;
hit;ударить;hɪt;
hobbyist;любитель;ˈhɑbiɪst;
hodlers;ходлеры;hodlers*;
hola;Hola;ˈhoʊlə;
hooked;зацепил;hʊkt;
hostile;враждебный;ˈhɑstəl;
however;тем не мение;ˌhaʊˈɛvər;
identifiable;идентифицируемый;aɪˈdɛntəˌfaɪəbəl;
identities;идентичности;aɪˈdɛntɪˌtiz;
identity;личность;aɪˈdɛntəˌti;
immediately;немедленно;ˌɪˈmiˌdiətli;
immutability;неизменность;immutability*;
immutable;неизменный;ˌɪmˈjutəbəl;
impact;влияние;ˌɪmˈpækt;
impose;навязывать;ˌɪmˈpoʊz;
improving;улучшение;ˌɪmˈpruvɪŋ;
inability;неспособность;ˌɪnəˈbɪlɪti;
incentive;стимул;ˌɪnˈsɛnɪv;
incentives;стимулы;ˌɪnˈsɪnɪvz;
incentivise;стимулировать;incentivise*;
incentivised;стимулированный;incentivised*;
inclusion;включение;ˌɪnˈkluʒən;
inconsistencies;несоответствия;ˌɪŋˈkɑnsɪˌstɛnsiz;
incorporate;включать;ˌɪnˈkɔrpərˌeɪt;
incorporating;включение;ˌɪnˈkɔrpərˌeɪtɪŋ;
incorruptible;неподкупный;incorruptible*;
inevitably;неизбежно;ˌɪˈnɛvətəbli;
inflation;инфляция;ˌɪnˈfleɪʃən;
ingredients;ингредиенты;ˌɪnˈgridiənts;
initially;первоначально;ˌɪˈnɪʃəli;
ins;ins;ˈaɪˈɛˈnɛs;
inspecting;осмотр;ˌɪnˈspɛktɪŋ;
instant;мгновенное;ˈɪnstənt;
insurance-related;связанный со страхованием;insurance-related*;
integrity;честность;ˌɪnˈtɛgrəti;
intended;намеревался;ˌɪnˈtɛndɪd;
intercept;перехватить;ˌɪnərˈsɛpt;
interfered;вмешался;ˌɪnərˈfɪrd;
intermediaries;посредники;ˌɪnərˈmidiˌɛriz;
intermediate;средний;ˌɪnərˈmidiɪt;
internally;внутри;ˌɪnˈtərnəli;
intuitions;интуиция;intuitions*;
invented;изобретенный;ˌɪnˈvɛntɪd;
invention;изобретение;ˌɪnˈvɛnʃən;
investment;вложение;ˌɪnˈvɛstmənt;
investments;инвестиции;ˌɪnˈvɛstmənts;
invoke;вызывать;ˌɪnˈvoʊk;
invoked;призванный;ˌɪnˈvoʊkt;
involvement;участие;ˌɪnˈvɑlvmənt;
isn;разве;isn*;
issuance;выдача;ˈɪʃuəns;
issuers;эмитенты;ˈɪʃuərz;
itself;сам;ˌɪtˈsɛlf;
itthis;это;itthis*;
journalistic;журналистский;ˌʤərnəˈlɪstɪk;
jury;жюри;ˈʤʊri;
justification;оправдание;ˌʤəstəfəˈkeɪʃən;
justified;оправданный;ˈʤəstəˌfaɪd;
keeping;сохранение;ˈkipɪŋ;
kept;хранится;kɛpt;
lack;недостаток;læk;
largely;во многом;ˈlɑrʤli;
laszlo;Ласло;ˈlæzloʊ;
latency;задержка;ˈleɪtənsi;
laundering;отмывание;ˈlɔndərɪŋ;
law;закон;lɔ;
lawbreakers;нарушители закона;ˈlɔˌbreɪkərz;
leading;ведущий;ˈlidɪŋ;
leads;ведет;lidz;
least;наименее;list;
ledger;бухгалтерская книга;ˈlɛʤər;
level--but;уровень - но;level--but*;
likewise;так же;ˈlaɪkˌwaɪz;
lindy;Линди;ˈlɪndi;
liveness;живость;liveness*;
lmdb;lmdb;lmdb*;
loan;заем;loʊn;
logback;вход в систему;logback*;
long-term;долгосрочный;ˈlɔŋˈtərm;
longer;дольше;ˈlɔŋgər;
longevity;долголетие;lɔnˈʤɛvəti;
looked;смотрел;lʊkt;
loom;ткацкий станок;lum;
lot;много;lɔt;
lots;лоты;lɑts;
lower;ниже;loʊər;
mainnet;основная сеть;mainnet*;
maintain;поддерживать;meɪnˈteɪn;
maintaining;поддержание;meɪnˈteɪnɪŋ;
maintains;поддерживает;meɪnˈteɪnz;
majority;большинство;məˈʤɔrəti;
manage;управлять;ˈmænɪʤ;
manner;манера;ˈmænər;
masternodes;мастерноды;masternodes*;
maximally-consistent;максимально последовательный;maximally-consistent*;
meaning;имея в виду;ˈminɪŋ;
meant;имел в виду;mɛnt;
mentioned;упомянул;ˈmɛnʃənd;
merely;просто;ˈmɪrli;
metcalfe;Metcalfe;ˈmɛtkəlf;
mine;мой;maɪn;
mined;добыт;maɪnd;
miner;шахтер;ˈmaɪnər;
misbehaving;плохое поведение;ˌmɪsbəˈheɪvɪŋ;
misbehaviour;дурное поведение;misbehaviour*;
misleading;вводящий в заблуждение;mɪsˈlidɪŋ;
misperceptions;заблуждения;mɪspərˈsɛpʃənz;
monacoin;монакоин;monacoin*;
monetary;денежный;ˈmɑnəˌtɛri;
months;месяцы;mənθs;
moreover;более того;mɔˈroʊvər;
mult;мульт;mult*;
multi-round;многократный;multi-round*;
multiparentcasperimpl;multiparentcasperimpl;multiparentcasperimpl*;
mundo;мундо;ˈməndoʊ;
mutually;взаимно;mˈjuʧuəli;
namespaced;пространство имен;namespaced*;
necessarily;обязательно;ˌnɛsəˈsɛrəli;
neither;ни один;ˈniðər;
nerds;ботаники;nərdz;
newborn;новорожденный;ˈnubɔrn;
nfts;нфты;nfts*;
non-repudiable;неопровержимый;non-repudiable*;
nonce;nonce;nɑns;
nonces;одноразовые номера;nonces*;
nonfungible;невосполнимый;nonfungible*;
notably;особенно;ˈnoʊtəbli;
nothing-at-stake;ничто не поставлено на карту;nothing-at-stake*;
numerous;многочисленные;ˈnumərəs;
nutshell;вкратце;ˈnətˌʃɛl;
obligations;обязательства;ˌɑbləˈgeɪʃənz;
obtained;полученный;əbˈteɪnd;
obtains;получает;əbˈteɪnz;
occasionally;изредка;ɔˈkeɪʒənəˌli;
occurring;происходящий;əˈkərɪŋ;
offer;предложение;ˈɔfər;
offerings;предложения;ˈɔfərɪŋz;
offshore;оффшорный;ˈɔfˈʃɔr;
oligopoly;олигополия;ˌɑlɪˈgɑpəli;
one-third;треть;ˌwənˈθərd;
onto;на;ˈɔntu;
opportunities;возможности;ˌɑpərˈtunətiz;
opportunity;возможность;ˌɑpərˈtunəti;
ordered;упорядоченный;ˈɔrdərd;
origin;источник;ˈɔrəʤən;
originating;происхождение;ərˈɪʤəˌneɪtɪŋ;
origins;происхождение;ˈɔrəʤɪnz;
oscillatory;колебательный;ˈɑsələˌtɔri;
otherwise;иначе;ˈəðərˌwaɪz;
outcome;исход;ˈaʊtˌkəm;
outlet;выход;ˈaʊˌtlɛt;
over;над;ˈoʊvər;
overall;общий;ˈoʊvərˌɔl;
overstated;завышенный;ˈoʊvərˌsteɪtɪd;
overtakes;настигает;ˈoʊvərˌteɪks;
overview;обзор;ˈoʊvərvˌju;
par;номинал;pɑr;
participants;участники;pɑrˈtɪsəpənts;
participate;принимать участие;pɑrˈtɪsəˌpeɪt;
participating;участие;pɑrˈtɪsəˌpeɪtɪŋ;
particular;специфический;ˌpɑˈtɪkjələr;
parties;стороны;ˈpɑrtiz;
partitioning;разделение;pɑrˈtɪʃənɪŋ;
party;вечеринка;ˈpɑrti;
payload;полезная нагрузка;ˈpeɪˌloʊd;
payout;выплата;peɪaʊt;
peer-to-peer;пиринговый;ˌpɪrtoʊˈpɪr;
peers;сверстники;pɪrz;
penalise;наказывать;penalise*;
penalised;наказан;penalised*;
penalties;штрафы;ˈpɛnəltiz;
pending;в ожидании;ˈpɛndɪŋ;
performing;выполнение;pərˈfɔrmɪŋ;
permanent;постоянный;ˈpərmɑˌnɛnt;
permissionless;без разрешения;permissionless*;
perpetuating;увековечивая;pərˈpɛʧəˌweɪtɪŋ;
persist;сопротивляться;pərˈsɪst;
persistently;настойчиво;pərˈsɪstəntli;
persists;сохраняется;pərˈsɪsts;
pertinent;уместно;ˈpərtɪnɪnt;
phlogiston;флогистон;phlogiston*;
phlos;флос;phlos*;
pick;выбирать;pɪk;
pick-and-shovel-type;ковшовый;pick-and-shovel-type*;
pitted;без ямок;ˈpɪtɪd;
plausible;правдоподобный;ˈplɔzəbəl;
plenty;множество;ˈplɛnti;
plugging;затыкание;ˈpləgɪŋ;
policies;политика;ˈpɑləsiz;
policy;политика;ˈpɑləsi;
popper;поппер;ˈpɑpər;
popularity;популярность;ˌpɑpjəˈlɛrəti;
pos;позиция;ˈpiˈoʊˈɛs;
possess;владеть;pəˈzɛs;
possession;владение;pəˈzɛʃən;
powbitcoin;Powbitcoin;powbitcoin*;
powered;питание;paʊərd;
practitioners;практикующие;prækˈtɪʃənərz;
precedence;приоритет;ˈprɛsədəns;
preceding;предшествующий;priˈsidɪŋ;
predates;предшествует;ˈpriˈdeɪts;
prepares;готовит;pərˈpɛrz;
prerequisite;предпосылка;priˈrɛkwəzət;
presence;присутствие;ˈprɛzəns;
prevent;предотвращать;prɪˈvɛnt;
preventing;предотвращение;prɪˈvɛnɪŋ;
prevents;предотвращает;prɪˈvɛnts;
prime;основной;praɪm;
principles;принципы;ˈprɪnsəpəlz;
prioritize;расставлять приоритеты;praɪˈɔrəˌtaɪz;
proceed;продолжить;pərˈsid;
process-valued;технологически оцененный;process-valued*;
producing;производство;prəˈdusɪŋ;
product;продукт;ˈprɑdəkt;
proof-of-anything;доказательство чего-либо;proof-of-anything*;
proof-of-stakesome;доказательство заинтересованности;proof-of-stakesome*;
proof-of-x;доказательство x;proof-of-x*;
proposal;предложение;prəˈpoʊzəl;
proposals;предложения;prəˈpoʊzəlz;
proposed;предложил;prəˈpoʊzd;
proposer;предлагающий;proposer*;
proposition;предложение;ˌprɑpəˈzɪʃən;
propositions;предложения;ˌprɑpəˈzɪʃənz;
prospectors;старатели;ˈprɔˌspɛktərz;
prove;доказывать;pruv;
proven;доказано;ˈpruvən;
proves;доказывает;pruvz;
provide;предоставлять;prəˈvaɪd;
pseudonymous;псевдоним;pseudonymous*;
pseudonymously;псевдонимно;pseudonymously*;
publicly;публично;ˈpəblɪkli;
punish;наказывать;ˈpənɪʃ;
punished;наказан;ˈpənɪʃt;
punishments;наказания;ˈpənɪʃmənts;
pyrofex;пирофекс;pyrofex*;
quicker;быстрее;kˈwɪkər;
quite;довольно;kwaɪt;
raises;поднимает;ˈreɪzɪz;
ramp-up;наращивать;ramp-up*;
rapidly;быстро;ˈræpədli;
rates;тарифы;reɪts;
rather;скорее;ˈrəðər;
ratified;ратифицирован;ˈrætəˌfaɪd;
rationales;обоснования;ˌræʃəˈnælz;
reach;достигать;riʧ;
reached;достиг;riʧt;
reaching;достигая;ˈriʧɪŋ;
readmost;самый читаемый;readmost*;
reasonable;разумный;ˈrizənəbəl;
recalculated;пересчитанный;riˈkælkjəˌleɪtɪd;
record-keeping;Бухучет, ведение учета, делопроизводство;record-keeping*;
reduce;уменьшать;rɪˈdus;
reducer;редуктор;reducer*;
refer;ссылаться;rɪˈfər;
refers;относится;rɪˈfərz;
refuses;отказывается;rɪfˈjuzɪz;
regard;внимание;rɪˈgɑrd;
regarding;касательно;rɪˈgɑrdɪŋ;
regulates;регулирует;ˈrɛgjəˌleɪts;
regulatory;регулирующий;ˈrɛgjələˌtɔri;
reinforcing;усиление;ˌriɪnˈfɔrsɪŋ;
reinvoke;повторно вызывать;reinvoke*;
related;связанные с;rɪˈleɪtɪd;
relaying;ретрансляция;ˈriˌleɪɪŋ;
relied;полагался;rɪˈlaɪd;
relies;полагается;rɪˈlaɪz;
relinquish;отказаться;rɪˈlɪŋkwɪʃ;
rely;полагаться;rɪˈlaɪ;
relying;полагаясь;riˈlaɪɪŋ;
rendezvous;рандеву;ˈrɑndɪˌvu;
representation;представление;ˌrɛprəzɛnˈteɪʃən;
requester;запрашивающий;rɪkˈwɛstər;
reseller;торговый посредник;riˈsɛlər;
resembles;напоминает;rɪˈzɛmbəlz;
resistant;стойкий;rɪˈzɪstənt;
responsible;ответственный;riˈspɑnsəbəl;
rest;отдых;rɛst;
restructure;реструктуризация;riˈstrəkʧər;
retaining;сохранение;rɪˈteɪnɪŋ;
retrieving;получение;riˈtrivɪŋ;
retroactively;задним числом;ˌrɛtroʊˈæktɪvli;
rev;rev;rɛv;
revocation;отзыв;ˌrɛvəˈkeɪʃən;
revokable;отзывный;revokable*;
reward;вознаграждение;rɪˈwɔrd;
rewarded;награжден;rɪˈwɔrdɪd;
rewards;награды;rɪˈwɔrdz;
robust;крепкий;roʊˈbəst;
rogue;Изгой;roʊg;
rolled;свернутый;roʊld;
rollout;посадочная дистанция;ˈroʊˌlaʊt;
rough;грубый;rəf;
safer;безопаснее;ˈseɪfər;
scattered;разбросанный;ˈskætərd;
scratch;царапать;skræʧ;
sealer;герметик;ˈsilər;
sealing;запечатывание;ˈsilɪŋ;
seeing;видя;siɪŋ;
sees;видит;siz;
self-consistent;самосогласованный;ˌsɛlfkənˈsɪstənt;
sell;продавать;sɛl;
semicolon;точка с запятой;semicolon*;
sense;смысл;sɛns;
seq;seq;seq*;
